class_name,service
net.jforum.sso.RemoteUserSSO,Utility Service 7
net.jforum.formatters.NewLineToHtmlBreakFormatter,Utility Service 8
net.jforum.sso.SSOUtils,Utility Service 9
net.jforum.formatters.PostOptions,Utility Service 10
net.jforum.formatters.Formatter,Utility Service 11
net.jforum.util.mail.EmailSenderTask,Utility Service 12
net.jforum.core.events.forum.NewForumGroupPermissionsEvent,Utility Service 13
net.jforum.formatters.HtmlEntitiesFormatter,Utility Service 14
net.jforum.core.tags.FormatSignatureTag,Utility Service 15
net.jforum.util.CategoryOrderComparator,Utility Service 16
net.jforum.controllers.AdminController,Utility Service 17
net.jforum.util.ImageInfo,Utility Service 18
net.jforum.util.mail.PrivateMessageSpammer,Utility Service 19
net.jforum.controllers.UserController,Utility Service 20
net.jforum.formatters.PostFormatters,Utility Service 21
net.jforum.sso.SSO,Utility Service 22
net.jforum.util.mail.SpammerTaskExecutor,Utility Service 23
net.jforum.core.tags.TemplateResourceTag,Utility Service 24
net.jforum.util.mail.ActivationKeySpammer,Utility Service 25
net.jforum.core.exceptions.ValidationException,Utility Service 26
net.jforum.util.SafeHtml,Utility Service 27
net.jforum.util.ImageUtils,Utility Service 28
net.jforum.util.mail.Spammer,Utility Service 29
net.jforum.util.mail.LostPasswordSpammer,Utility Service 30
net.jforum.util.MD5,Utility Service 31
net.jforum.sso.LoginAuthenticator,Utility Service 32
net.jforum.util.URLBuilder,Utility Service 33
net.jforum.util.mail.MessageId,Utility Service 34
net.jforum.formatters.BBCode,Utility Service 35
net.jforum.util.JForumConfig,Utility Service 36
net.jforum.formatters.SmiliesFormatter,Utility Service 37
net.jforum.core.tags.DisplayCategoriesTag,Utility Service 38
net.jforum.core.tags.DisplayFormattedMessageTag,Utility Service 39
net.jforum.core.tags.JForumTag,Utility Service 40
net.jforum.sso.DefaultLoginAuthenticator,Utility Service 41
net.jforum.util.mail.IdentifiableMimeMessage,Utility Service 42
net.jforum.util.mail.TopicReplySpammer,Utility Service 43
net.jforum.core.exceptions.MailException,Utility Service 44
net.jforum.core.tags.I18nTag,Utility Service 45
net.jforum.formatters.SafeHtmlAttributesFormatter,Utility Service 46
net.jforum.actions.helpers.ApproveInfo,Utility Service 47
net.jforum.util.I18n,Utility Service 48
net.jforum.util.GroupInteractionFilter,Utility Service 49
net.jforum.util.mail.SpammerFactory,Utility Service 50
net.jforum.formatters.BBConfigFormatter,Utility Service 51
net.jforum.core.tags.Functions,Utility Service 52
net.jforum.core.tags.DisplayForumsTag,Utility Service 53
net.jforum.core.tags.ImportFileTag,Utility Service 54
net.jforum.actions.helpers.AttachedFile,Utility Service 55
net.jforum.core.support.spring.RoleManagerFactoryBean,Utility Service 56
net.jforum.core.exceptions.ForumException,Utility Service 57
net.jforum.core.tags.ImportResponseWrapper,Utility Service 58
net.jforum.core.tags.URLTag,Utility Service 59
net.jforum.util.UploadUtils,Utility Service 60
